# {"t_start": 1602448160.086903, "env_id": "FrozenLake-v0"} 
r,l,t
0.0,6,0.595461
0.0,12,0.599697
0.0,2,0.600417
0.0,4,0.601753
0.0,2,0.602478
0.0,3,0.6035
0.0,7,0.605937
0.0,2,0.606744
0.0,8,0.61029
0.0,13,0.616128
0.0,5,0.618157
0.0,4,0.619801
0.0,2,0.62055
0.0,8,0.623783
0.0,13,0.630058
0.0,4,0.63224
0.0,3,0.633621
0.0,4,0.635233
0.0,7,0.637971
0.0,10,0.641768
0.0,2,0.6425
0.0,13,0.647083
0.0,4,0.648475
0.0,7,0.650862
0.0,5,0.652595
0.0,5,0.654281
0.0,17,0.660305
0.0,10,0.664135
0.0,4,0.665467
0.0,11,0.669084
0.0,6,0.671036
0.0,2,0.671787
0.0,4,0.673167
0.0,8,0.676052
0.0,2,0.676757
0.0,2,0.677546
0.0,6,0.679633
0.0,2,0.680425
0.0,3,0.681519
0.0,10,0.684914
0.0,7,0.687277
0.0,21,0.694388
0.0,7,0.697219
0.0,9,0.700228
0.0,4,0.701537
0.0,3,0.702524
0.0,10,0.705965
0.0,2,0.706641
0.0,7,0.708858
0.0,4,0.710312
0.0,3,0.711277
0.0,5,0.713344
0.0,8,0.716263
0.0,4,0.717566
0.0,9,0.720637
0.0,11,0.7245
0.0,24,0.734855
0.0,4,0.736621
0.0,11,0.741489
0.0,31,0.752111
1.0,14,0.756889
0.0,3,0.757946
0.0,6,0.759907
0.0,9,0.763486
0.0,10,0.766721
0.0,2,0.767446
0.0,16,0.773904
0.0,7,0.776739
0.0,2,0.777532
0.0,14,0.782219
0.0,2,0.782942
0.0,6,0.784987
0.0,3,0.78601
0.0,7,0.788556
0.0,14,0.793303
0.0,8,0.796028
0.0,3,0.797224
0.0,5,0.79905
0.0,6,0.800977
0.0,10,0.80515
0.0,19,0.811676
0.0,3,0.812872
0.0,8,0.81716
0.0,5,0.820191
0.0,9,0.824095
0.0,6,0.826456
0.0,14,0.831265
0.0,5,0.833387
0.0,4,0.834699
0.0,4,0.836062
0.0,10,0.839444
0.0,3,0.840453
0.0,2,0.84113
0.0,4,0.843043
0.0,7,0.8454
0.0,7,0.847895
0.0,7,0.850362
0.0,4,0.851685
0.0,3,0.852725
0.0,2,0.853502
0.0,11,0.857288
0.0,7,0.859541
0.0,5,0.861213
0.0,9,0.864425
0.0,10,0.868334
0.0,4,0.869638
0.0,4,0.870992
0.0,3,0.871988
0.0,5,0.874031
0.0,4,0.875503
0.0,5,0.877191
0.0,7,0.880253
0.0,5,0.881978
0.0,16,0.887319
1.0,26,0.895932
0.0,8,0.89883
0.0,10,0.902226
0.0,23,0.910436
0.0,6,0.912445
0.0,2,0.913191
0.0,8,0.916185
0.0,15,0.922237
0.0,12,0.926829
0.0,17,0.932816
0.0,2,0.933572
0.0,2,0.934271
0.0,2,0.934954
0.0,4,0.936271
