# {"t_start": 1602341425.2324522, "env_id": "CartPole-v1"} 
r,l,t
15.0,15,0.704874
36.0,36,0.718263
14.0,14,0.723579
14.0,14,0.728467
16.0,16,0.73373
15.0,15,0.739059
9.0,9,0.7421
20.0,20,0.748823
37.0,37,0.760932
11.0,11,0.764675
16.0,16,0.769955
13.0,13,0.774606
11.0,11,0.778416
17.0,17,0.783916
17.0,17,0.78979
22.0,22,0.79853
11.0,11,0.802202
15.0,15,0.807303
18.0,18,0.813285
42.0,42,0.827369
32.0,32,0.838126
23.0,23,0.851439
38.0,38,0.867295
17.0,17,0.874722
25.0,25,0.884352
16.0,16,0.889826
12.0,12,0.894239
13.0,13,0.898422
27.0,27,0.908735
47.0,47,0.925952
13.0,13,0.930436
15.0,15,0.935427
23.0,23,0.943462
72.0,72,0.967746
10.0,10,0.971255
13.0,13,0.976047
16.0,16,0.981775
31.0,31,0.992092
15.0,15,0.996958
26.0,26,1.006359
27.0,27,1.015825
44.0,44,1.03062
14.0,14,1.035378
33.0,33,1.046637
37.0,37,1.058871
17.0,17,1.064728
20.0,20,1.072133
20.0,20,1.079203
14.0,14,1.084743
40.0,40,1.099625
13.0,13,1.105513
32.0,32,1.118337
24.0,24,1.128161
15.0,15,1.134146
16.0,16,1.139611
12.0,12,1.143831
20.0,20,1.150304
10.0,10,1.153641
35.0,35,1.165451
18.0,18,1.172596
27.0,27,1.182374
21.0,21,1.189639
14.0,14,1.194421
15.0,15,1.199449
14.0,14,1.20423
32.0,32,1.215282
35.0,35,1.227601
18.0,18,1.233834
22.0,22,1.241149
14.0,14,1.245706
24.0,24,1.253854
17.0,17,1.260107
19.0,19,1.266695
34.0,34,1.278432
11.0,11,1.282405
18.0,18,1.288544
11.0,11,1.292307
11.0,11,1.295869
10.0,10,1.299464
10.0,10,1.303198
25.0,25,1.311864
17.0,17,1.318178
31.0,31,1.329634
23.0,23,1.337777
15.0,15,1.343104
19.0,19,1.349481
16.0,16,1.355329
13.0,13,1.360139
34.0,34,1.372042
18.0,18,1.378174
24.0,24,1.385954
25.0,25,1.394504
18.0,18,1.400515
13.0,13,1.404835
30.0,30,1.414633
19.0,19,1.421433
25.0,25,1.548711
34.0,34,1.559507
10.0,10,1.562889
14.0,14,1.568525
20.0,20,1.577718
33.0,33,1.59284
35.0,35,1.605105
25.0,25,1.615196
13.0,13,1.620269
17.0,17,1.626944
16.0,16,1.632894
32.0,32,1.646548
18.0,18,1.653027
20.0,20,1.659847
17.0,17,1.666295
15.0,15,1.672795
24.0,24,1.693315
23.0,23,1.701627
14.0,14,1.706574
12.0,12,1.7108
20.0,20,1.718545
33.0,33,1.729707
16.0,16,1.735144
18.0,18,1.741234
22.0,22,1.748394
49.0,49,1.765109
15.0,15,1.77027
30.0,30,1.779871
60.0,60,1.800062
11.0,11,1.803653
12.0,12,1.808044
16.0,16,1.813303
19.0,19,1.819683
20.0,20,1.826696
9.0,9,1.829711
33.0,33,1.841192
16.0,16,1.846925
25.0,25,1.855503
75.0,75,1.88427
11.0,11,1.889147
32.0,32,1.900678
22.0,22,1.908007
25.0,25,1.917445
23.0,23,1.925589
16.0,16,1.93114
13.0,13,1.935614
28.0,28,1.945104
17.0,17,1.951059
21.0,21,1.95823
23.0,23,1.965941
39.0,39,1.978498
9.0,9,1.981257
22.0,22,1.988709
45.0,45,2.003779
14.0,14,2.008536
60.0,60,2.029246
14.0,14,2.034556
14.0,14,2.039279
13.0,13,2.043597
17.0,17,2.049097
20.0,20,2.055629
36.0,36,2.067393
33.0,33,2.078568
12.0,12,2.082634
31.0,31,2.093067
24.0,24,2.101446
34.0,34,2.114618
17.0,17,2.120926
37.0,37,2.133135
23.0,23,2.140755
13.0,13,2.145039
19.0,19,2.151022
22.0,22,2.158525
13.0,13,2.162807
36.0,36,2.174913
16.0,16,2.180173
24.0,24,2.188124
11.0,11,2.192094
26.0,26,2.200281
36.0,36,2.212195
24.0,24,2.220886
21.0,21,2.228163
40.0,40,2.241934
27.0,27,2.250861
19.0,19,2.257599
13.0,13,2.262083
29.0,29,2.271725
39.0,39,2.33869
18.0,18,2.345033
23.0,23,2.353055
21.0,21,2.359799
16.0,16,2.364802
26.0,26,2.375925
17.0,17,2.382364
9.0,9,2.385663
9.0,9,2.388946
17.0,17,2.39503
16.0,16,2.400274
9.0,9,2.403284
15.0,15,2.408539
35.0,35,2.421302
23.0,23,2.431015
17.0,17,2.44031
27.0,27,2.452957
12.0,12,2.457681
17.0,17,2.463463
60.0,60,2.484481
20.0,20,2.491803
49.0,49,2.511282
10.0,10,2.516487
18.0,18,2.527211
11.0,11,2.533171
41.0,41,2.547238
23.0,23,2.554804
18.0,18,2.560805
33.0,33,2.573587
29.0,29,2.585081
14.0,14,2.58943
34.0,34,2.600098
16.0,16,2.605311
11.0,11,2.609078
45.0,45,2.626566
13.0,13,2.631269
65.0,65,2.65396
25.0,25,2.662602
12.0,12,2.666474
20.0,20,2.672957
13.0,13,2.677454
12.0,12,2.681063
12.0,12,2.685062
28.0,28,2.693619
28.0,28,2.703304
15.0,15,2.708857
12.0,12,2.713165
18.0,18,2.720815
15.0,15,2.726359
47.0,47,2.74287
19.0,19,2.749326
35.0,35,2.761543
18.0,18,2.768562
32.0,32,2.779074
37.0,37,2.792184
44.0,44,2.806944
56.0,56,2.825836
14.0,14,2.83076
13.0,13,2.835163
31.0,31,2.845897
12.0,12,2.849782
10.0,10,2.853441
15.0,15,2.858439
23.0,23,2.865813
15.0,15,2.8709
21.0,21,2.878211
70.0,70,2.901877
59.0,59,2.922362
25.0,25,2.938987
56.0,56,2.958912
24.0,24,2.967114
20.0,20,2.976519
17.0,17,2.983498
12.0,12,2.987637
11.0,11,2.992032
17.0,17,2.99802
17.0,17,3.004005
53.0,53,3.023406
22.0,22,3.031109
28.0,28,3.041943
27.0,27,3.050879
57.0,57,3.069853
57.0,57,3.141504
21.0,21,3.148282
26.0,26,3.157182
13.0,13,3.161453
40.0,40,3.176437
23.0,23,3.185105
18.0,18,3.191183
26.0,26,3.199624
15.0,15,3.204457
36.0,36,3.216544
17.0,17,3.223947
10.0,10,3.227427
19.0,19,3.233957
16.0,16,3.239268
17.0,17,3.245003
20.0,20,3.251543
23.0,23,3.259276
52.0,52,3.278218
10.0,10,3.281847
15.0,15,3.286803
19.0,19,3.293393
41.0,41,3.307594
19.0,19,3.314219
20.0,20,3.321494
48.0,48,3.336044
58.0,58,3.35423
16.0,16,3.359328
24.0,24,3.367196
36.0,36,3.38687
17.0,17,3.399735
27.0,27,3.412409
14.0,14,3.419985
21.0,21,3.436421
32.0,32,3.449683
22.0,22,3.457379
32.0,32,3.467557
26.0,26,3.476456
14.0,14,3.480812
33.0,33,3.492296
28.0,28,3.502096
15.0,15,3.507387
14.0,14,3.512385
15.0,15,3.520399
79.0,79,3.547355
21.0,21,3.556058
12.0,12,3.560915
44.0,44,3.577324
11.0,11,3.581345
15.0,15,3.586211
51.0,51,3.602969
18.0,18,3.61011
15.0,15,3.615746
36.0,36,3.627829
21.0,21,3.634798
38.0,38,3.647549
23.0,23,3.655799
13.0,13,3.660578
11.0,11,3.66452
27.0,27,3.674143
27.0,27,3.684577
42.0,42,3.699497
19.0,19,3.707885
44.0,44,3.726779
16.0,16,3.733136
14.0,14,3.738834
9.0,9,3.742642
16.0,16,3.749532
14.0,14,3.755314
26.0,26,3.766391
16.0,16,3.774168
17.0,17,3.782434
34.0,34,3.799814
19.0,19,3.808897
22.0,22,3.819082
42.0,42,3.838373
59.0,59,3.86065
25.0,25,3.876037
25.0,25,3.886101
17.0,17,3.892342
34.0,34,3.903615
14.0,14,3.908218
24.0,24,3.96881
40.0,40,3.982503
26.0,26,3.991379
52.0,52,4.008692
19.0,19,4.014987
39.0,39,4.02837
15.0,15,4.033154
22.0,22,4.040723
17.0,17,4.046289
31.0,31,4.056598
12.0,12,4.060528
32.0,32,4.071639
81.0,81,4.098128
33.0,33,4.109528
28.0,28,4.118887
19.0,19,4.126039
59.0,59,4.146042
33.0,33,4.157456
35.0,35,4.171086
54.0,54,4.190004
75.0,75,4.214705
35.0,35,4.226908
26.0,26,4.235367
12.0,12,4.239326
34.0,34,4.250687
17.0,17,4.256451
13.0,13,4.260964
14.0,14,4.265916
21.0,21,4.273319
56.0,56,4.2924
16.0,16,4.297751
38.0,38,4.310915
14.0,14,4.315615
16.0,16,4.321121
53.0,53,4.339394
12.0,12,4.343496
27.0,27,4.352729
25.0,25,4.361093
25.0,25,4.369236
34.0,34,4.380986
11.0,11,4.38457
33.0,33,4.395439
18.0,18,4.401315
48.0,48,4.417379
21.0,21,4.425049
27.0,27,4.434589
24.0,24,4.443031
14.0,14,4.447895
32.0,32,4.458142
19.0,19,4.463699
30.0,30,4.475255
11.0,11,4.479528
19.0,19,4.486644
20.0,20,4.493667
38.0,38,4.505968
23.0,23,4.518302
15.0,15,4.525457
17.0,17,4.530931
32.0,32,4.54149
23.0,23,4.549097
14.0,14,4.553704
24.0,24,4.561874
29.0,29,4.571397
22.0,22,4.578564
28.0,28,4.587743
15.0,15,4.593273
37.0,37,4.60612
10.0,10,4.609401
35.0,35,4.621067
29.0,29,4.630697
53.0,53,4.649209
84.0,84,4.730551
71.0,71,4.755033
35.0,35,4.766973
22.0,22,4.774397
59.0,59,4.794963
29.0,29,4.804765
12.0,12,4.809027
48.0,48,4.824599
39.0,39,4.837463
15.0,15,4.842767
14.0,14,4.847264
31.0,31,4.857725
55.0,55,4.87659
46.0,46,4.893605
24.0,24,4.902129
17.0,17,4.9077
38.0,38,4.920428
18.0,18,4.926945
23.0,23,4.93512
41.0,41,4.951451
20.0,20,4.958524
20.0,20,4.965364
59.0,59,4.984746
26.0,26,4.993826
18.0,18,5.000477
30.0,30,5.014095
20.0,20,5.021899
33.0,33,5.034151
20.0,20,5.040988
36.0,36,5.057506
50.0,50,5.078723
14.0,14,5.083758
53.0,53,5.101137
44.0,44,5.116002
29.0,29,5.12566
56.0,56,5.143975
11.0,11,5.147619
33.0,33,5.158463
19.0,19,5.164876
22.0,22,5.17224
34.0,34,5.183465
19.0,19,5.190206
28.0,28,5.199595
33.0,33,5.210525
35.0,35,5.22264
20.0,20,5.229466
27.0,27,5.23875
30.0,30,5.248666
28.0,28,5.257861
59.0,59,5.277924
30.0,30,5.288373
41.0,41,5.302036
18.0,18,5.308257
58.0,58,5.327765
10.0,10,5.331128
41.0,41,5.345503
22.0,22,5.352872
45.0,45,5.368284
14.0,14,5.372923
48.0,48,5.389552
14.0,14,5.395735
44.0,44,5.411552
22.0,22,5.419585
73.0,73,5.49772
21.0,21,5.505134
22.0,22,5.513336
25.0,25,5.521851
11.0,11,5.52582
30.0,30,5.535899
21.0,21,5.543037
57.0,57,5.562532
15.0,15,5.575932
14.0,14,5.581168
65.0,65,5.602422
16.0,16,5.607648
15.0,15,5.612794
40.0,40,5.626769
13.0,13,5.632152
88.0,88,5.66169
63.0,63,5.683451
53.0,53,5.70264
25.0,25,5.711533
21.0,21,5.718343
48.0,48,5.734004
43.0,43,5.748416
25.0,25,5.756828
13.0,13,5.761484
48.0,48,5.776894
49.0,49,5.793972
26.0,26,5.801994
32.0,32,5.813092
19.0,19,5.818962
11.0,11,5.823056
39.0,39,5.835847
23.0,23,5.844117
16.0,16,5.849222
40.0,40,5.862188
23.0,23,5.86906
26.0,26,5.877475
35.0,35,5.888251
21.0,21,5.895676
36.0,36,5.906677
24.0,24,5.914929
23.0,23,5.923207
22.0,22,5.931135
11.0,11,5.934661
73.0,73,5.959162
20.0,20,5.965551
37.0,37,5.97764
67.0,67,5.999538
43.0,43,6.014722
28.0,28,6.02444
44.0,44,6.039273
43.0,43,6.053908
19.0,19,6.06017
29.0,29,6.069676
26.0,26,6.078836
35.0,35,6.09026
9.0,9,6.093316
51.0,51,6.110362
40.0,40,6.124308
13.0,13,6.129113
51.0,51,6.14623
14.0,14,6.151069
41.0,41,6.164528
33.0,33,6.175881
30.0,30,6.185185
22.0,22,6.244862
63.0,63,6.266198
35.0,35,6.278038
39.0,39,6.29098
24.0,24,6.299402
42.0,42,6.313923
40.0,40,6.327923
15.0,15,6.332888
59.0,59,6.352348
33.0,33,6.363626
34.0,34,6.375197
24.0,24,6.383066
54.0,54,6.402522
21.0,21,6.41497
21.0,21,6.425153
12.0,12,6.433507
22.0,22,6.448422
47.0,47,6.473871
13.0,13,6.480849
14.0,14,6.494033
28.0,28,6.520845
51.0,51,6.557924
44.0,44,6.57853
26.0,26,6.590092
17.0,17,6.597474
40.0,40,6.616197
18.0,18,6.627676
23.0,23,6.640724
45.0,45,6.665116
14.0,14,6.671413
79.0,79,6.726123
47.0,47,6.745784
19.0,19,6.752684
13.0,13,6.757352
25.0,25,6.766567
15.0,15,6.771778
45.0,45,6.787058
38.0,38,6.801045
37.0,37,6.81344
30.0,30,6.829302
41.0,41,6.846001
51.0,51,6.864107
39.0,39,6.879069
19.0,19,6.88591
15.0,15,6.891662
41.0,41,6.906809
16.0,16,6.912992
64.0,64,6.940181
15.0,15,6.948174
14.0,14,6.9558
20.0,20,6.967079
34.0,34,6.98486
95.0,95,7.027225
19.0,19,7.035228
28.0,28,7.049548
22.0,22,7.057871
14.0,14,7.064217
74.0,74,7.097728
35.0,35,7.123778
53.0,53,7.153538
17.0,17,7.162666
65.0,65,7.269182
24.0,24,7.281441
10.0,10,7.285499
26.0,26,7.297249
27.0,27,7.309225
18.0,18,7.31645
21.0,21,7.328443
16.0,16,7.335167
18.0,18,7.342761
21.0,21,7.350779
17.0,17,7.357593
28.0,28,7.367766
45.0,45,7.384071
17.0,17,7.390597
32.0,32,7.402571
11.0,11,7.406855
24.0,24,7.415816
83.0,83,7.447549
26.0,26,7.456769
20.0,20,7.463556
40.0,40,7.479443
19.0,19,7.486763
22.0,22,7.497521
26.0,26,7.50752
20.0,20,7.525064
15.0,15,7.53379
33.0,33,7.551208
27.0,27,7.563235
35.0,35,7.582226
26.0,26,7.593093
34.0,34,7.605108
22.0,22,7.612991
76.0,76,7.649512
32.0,32,7.662759
44.0,44,7.680299
37.0,37,7.696299
32.0,32,7.70985
28.0,28,7.724018
28.0,28,7.736691
32.0,32,7.750101
60.0,60,7.773385
20.0,20,7.782435
54.0,54,7.801441
57.0,57,7.827942
17.0,17,7.834597
23.0,23,7.846392
20.0,20,7.855206
16.0,16,7.86195
29.0,29,7.872542
56.0,56,7.894437
15.0,15,7.904556
25.0,25,7.917107
35.0,35,7.931049
19.0,19,7.938919
39.0,39,7.960035
47.0,47,7.978514
49.0,49,7.997885
24.0,24,8.006581
20.0,20,8.014193
54.0,54,8.034652
20.0,20,8.041942
88.0,88,8.086757
49.0,49,8.122678
21.0,21,8.134577
42.0,42,8.157212
32.0,32,8.235889
29.0,29,8.247625
19.0,19,8.253898
16.0,16,8.259919
21.0,21,8.268033
55.0,55,8.346479
82.0,82,8.399901
40.0,40,8.420752
