eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
21.15625,21.15625,2385,0.00024309516,0.0,0.6929324,-0.0023183052,41.60488,0.0007947087287902832,1,2048,0.8585658409999999,2048
34.31,34.31,2000,8.8552144e-05,0.0,0.6666705,-0.0012337042,55.662712,0.006502628326416016,10,20480,8.569269563999999,20480
52.46,52.46,2374,0.00020070927,0.0,0.637488,-0.002173474,63.943253,0.019666075706481934,20,40960,16.260784386,40960
65.19,65.19,2707,0.0006598663,0.0,0.63777864,-0.00042998116,70.29032,0.0303230881690979,30,61440,23.784607366,61440
60.57,60.57,2288,0.0003847641,0.0,0.64265794,-0.0019584624,54.969524,0.03807002305984497,40,81920,31.554570367,81920
54.82,54.82,2716,0.0003846386,0.0,0.6519643,-0.00040184185,52.191757,0.03345596790313721,50,102400,40.132096202999996,102400
45.05,45.05,2725,0.00019253086,0.0,0.651947,0.0007864637,47.21156,0.04300206899642944,60,122880,47.638919357999995,122880
46.85,46.85,2542,0.0035029151,0.017211914,0.6316568,-0.0069964854,44.880016,0.060802459716796875,70,143360,55.744974574,143360
61.74,61.74,2579,0.00014266104,0.0,0.63262856,-0.0007606375,52.710304,0.06783735752105713,80,163840,63.286014202000004,163840
63.94,63.94,2733,0.0021313708,0.003540039,0.62209177,-0.005045404,57.93281,0.0769193172454834,90,184320,71.140765656,184320
